year,borough,postcode,Lat,Lon,crimes
2013-14,BROOKLYN ,11210,40.612623,-73.951906,0
2013-14,BROOKLYN ,11210,40.612623,-73.951906,0
2013-14,BROOKLYN ,11210,40.612623,-73.951906,4
2013-14,BROOKLYN ,11210,40.63694,-73.937339,0
2013-14,BROOKLYN ,11230,40.616632,-73.963476,0
2013-14,BROOKLYN ,11214,40.603188,-74.001408,2
2013-14,BROOKLYN ,11228,40.618676,-74.012722,2
2013-14,BROOKLYN ,11208,40.666417,-73.876563,0
2013-14,BROOKLYN ,11208,40.666417,-73.876563,0
2013-14,BROOKLYN ,11208,40.666417,-73.876563,19
2013-14,BROOKLYN ,11234,40.621436,-73.925989,10
2013-14,BROOKLYN ,11228,40.614159,-74.006638,0
2013-14,BROOKLYN ,11204,40.61527,-73.987149,0
2013-14,BROOKLYN ,11229,40.597369,-73.948946,5
2013-14,BROOKLYN ,11234,40.613353,-73.930129,0
2013-14,BROOKLYN ,11235,40.586845,-73.96198,0
2013-14,BROOKLYN ,11213,40.672762,-73.927973,0
2013-14,BROOKLYN ,11213,40.672762,-73.927973,0
2013-14,BROOKLYN ,11213,40.672762,-73.927973,4
2013-14,BROOKLYN ,11236,40.643278,-73.896212,0
2013-14,BROOKLYN ,11236,40.643278,-73.896212,0
2013-14,BROOKLYN ,11236,40.643278,-73.896212,9
2013-14,BROOKLYN ,11214,40.587616,-73.985948,1
2013-14,BROOKLYN ,11207,40.66051,-73.890288,8
2013-14,BROOKLYN ,11208,40.676513,-73.863151,0
2013-14,BROOKLYN ,11223,40.602084,-73.970013,3
2013-14,BROOKLYN ,11223,40.590564,-73.969964,0
2013-14,BROOKLYN ,11230,40.63398,-73.966558,4
2013-14,BROOKLYN ,11208,40.670724,-73.874208,0
2013-14,BROOKLYN ,11208,40.670724,-73.874208,0
2013-14,BROOKLYN ,11208,40.670724,-73.874208,0
2013-14,BROOKLYN ,11208,40.670724,-73.874208,25
2013-14,BROOKLYN ,11212,40.659288,-73.922919,0
2013-14,BROOKLYN ,11220,40.640545,-74.000731,7
2013-14,BROOKLYN ,11213,40.663701,-73.936049,0
2013-14,BROOKLYN ,11213,40.663701,-73.936049,0
2013-14,BROOKLYN ,11213,40.663701,-73.936049,4
2013-14,BROOKLYN ,11234,40.613317,-73.938871,0
