OBJECTID,PROVIDER,LAT,LON,LOCATION_T,BORONAME
52,ALTICEUSA,40.811544,-73.914138,Indoor,Bronx
53,SPECTRUM,40.719789,-73.981466,Outdoor,Manhattan
54,SPECTRUM,40.720005,-73.981438,Indoor,Manhattan
55,SPECTRUM,40.812681,-73.939357,Indoor,Manhattan
56,SPECTRUM,40.812681,-73.939357,Indoor,Manhattan
57,SPECTRUM,40.812681,-73.939357,Outdoor,Manhattan
58,SPECTRUM,40.812681,-73.939357,Indoor,Manhattan
59,SPECTRUM,40.812681,-73.939357,Indoor,Manhattan
60,SPECTRUM,40.812681,-73.939357,Indoor,Manhattan
61,SPECTRUM,40.812681,-73.939357,Indoor,Manhattan
62,SPECTRUM,40.733142,-73.870981,Outdoor TWC Aerial,Queens
63,SPECTRUM,40.733186,-73.871128,Outdoor TWC Aerial,Queens
64,SPECTRUM,40.742094,-73.961265,Outdoor,Queens
65,SPECTRUM,40.741994,-73.961256,Outdoor,Queens
66,NYCHA,40.695009,-73.979547,Outdoor,Brooklyn
67,NYCHA,40.694623,-73.979909,Outdoor,Brooklyn
68,NYCHA,40.694137,-73.979813,Outdoor,Brooklyn
69,NYCHA,40.69454,-73.979416,Outdoor,Brooklyn
70,NYCHA,40.694626,-73.97518,Outdoor,Brooklyn
71,NYCHA,40.694892,-73.975416,Outdoor,Brooklyn
72,NYCHA,40.694868,-73.975024,Outdoor,Brooklyn
73,NYCHA,40.694394,-73.975054,Outdoor,Brooklyn
74,NYCHA,40.694557,-73.975336,Outdoor,Brooklyn
75,NYCHA,40.693392,-73.973923,Outdoor,Brooklyn
76,NYCHA,40.694382,-73.974614,Outdoor,Brooklyn
77,NYCHA,40.693724,-73.977351,Outdoor,Brooklyn
78,NYCHA,40.69374,-73.977796,Outdoor,Brooklyn
79,NYCHA,40.69368,-73.977246,Outdoor,Brooklyn
80,NYCHA,40.693509,-73.976981,Outdoor,Brooklyn
81,NYCHA,40.693493,-73.976635,Outdoor,Brooklyn
82,NYCHA,40.693442,-73.973193,Outdoor,Brooklyn
